exchange,exchangeName,name,symbol,productType,tradingUnit,quoteUnit,contractMultiplier,multiplierUnit,minTick,tickUnit,tickValue,sourceUrl,sourceTitle,sourcePublishedAt,verificationStatus,verifiedAt,notes
CZCE,郑州商品交易所,苹果,AP,commodity,10吨/手,元（人民币）/吨,10,吨,1,元/吨,10,https://www.czce.com.cn/cn/uploadfile/2024/03/05/20240305170625629.pdf,郑州商品交易所鲜苹果期货业务细则,2024-03-05,official-static,2026-07-16,按官方文件交易单位与报价单位换算；每跳价值=10×1=10元/手。
CZCE,郑州商品交易所,棉花,CF,commodity,5吨/手,元（人民币）/吨,5,吨,5,元/吨,25,https://www.czce.com.cn/cn/flfg/zcjywgz/pzxz/webinfo/2024/02/1708568084281851.htm,郑州商品交易所棉花期货业务细则,,official-static,2026-07-16,按官方文件交易单位与报价单位换算；每跳价值=5×5=25元/手。
CZCE,郑州商品交易所,红枣,CJ,commodity,5吨/手,元（人民币）/吨,5,吨,5,元/吨,25,https://www.czce.com.cn/cn/uploadfile/2024/12/19/20241219113008783.pdf,郑州商品交易所干制红枣期货业务细则,2024-12-12,official-static,2026-07-16,按官方文件交易单位与报价单位换算；每跳价值=5×5=25元/手。
CZCE,郑州商品交易所,棉纱,CY,commodity,5 吨/手,元（人民币）/吨,5,吨,5,元/吨,25,https://www.czce.com.cn/cn/sspz/H770301index_1.htm,郑州商品交易所产品目录（参数由用户确认附件提供）,,user-confirmed,2026-07-17,用户于 2026-07-17 明确确认附件 DCE-CZCE-selected-contracts.xlsx 中该品种基础参数正确；按 5 t/lot 与 CNY/t 换算，每跳价值=5×5=25 元/手。
CZCE,郑州商品交易所,平板玻璃,FG,commodity,20吨/手,元（人民币）/吨,20,吨,1,元/吨,20,https://www.czce.com.cn/cn/uploadfile/2024/01/09/20240109094204181.pdf,郑州商品交易所平板玻璃期货业务细则,2024-01-08,official-static,2026-07-16,按官方文件交易单位与报价单位换算；每跳价值=20×1=20元/手。
CZCE,郑州商品交易所,粳稻,JR,commodity,20吨/手,元（人民币）/吨,20,吨,1,元/吨,20,https://www.czce.com.cn/cn/uploadfile/2024/02/07/20240207154502478.pdf,郑州商品交易所粳稻期货业务细则,2024-02-07,official-static,2026-07-16,按官方文件交易单位与报价单位换算；每跳价值=20×1=20元/手。
CZCE,郑州商品交易所,晚籼稻,LR,commodity,20 吨/手,元（人民币）/吨,20,吨,1,元/吨,20,https://www.czce.com.cn/cn/sspz/H770301index_1.htm,郑州商品交易所产品目录（参数由用户确认附件提供）,,user-confirmed,2026-07-17,用户于 2026-07-17 明确确认附件 DCE-CZCE-selected-contracts.xlsx 中该品种基础参数正确；按 20 t/lot 与 CNY/t 换算，每跳价值=20×1=20 元/手。
CZCE,郑州商品交易所,甲醇,MA,commodity,10吨/手,元（人民币）/吨,10,吨,1,元/吨,10,https://www.czce.com.cn/cn/uploadfile/2022/08/31/20220831175459720.pdf,郑州商品交易所甲醇期货业务细则,2022-08-31,official-static,2026-07-16,按官方文件交易单位与报价单位换算；每跳价值=10×1=10元/手。
CZCE,郑州商品交易所,菜籽油,OI,commodity,10 吨/手,元（人民币）/吨,10,吨,2,元/吨,20,https://www.czce.com.cn/cn/sspz/H770301index_1.htm,郑州商品交易所产品目录（参数由用户确认附件提供）,,user-confirmed,2026-07-17,用户于 2026-07-17 明确确认附件 DCE-CZCE-selected-contracts.xlsx 中该品种基础参数正确；按 10 t/lot 与 CNY/t 换算，每跳价值=10×2=20 元/手。
CZCE,郑州商品交易所,短纤,PF,commodity,5吨/手,元（人民币）/吨,5,吨,2,元/吨,10,https://www.czce.com.cn/cn/rootfiles/2024/04/29/1715230234568456-1715230234588647.pdf,短纤期货期权合约规则介绍,,official-static,2026-07-16,按官方文件交易单位与报价单位换算；每跳价值=5×2=10元/手。
