exchange,exchangeName,name,symbol,productType,tradingUnit,quoteUnit,contractMultiplier,multiplierUnit,minTick,tickUnit,tickValue,sourceUrl,sourceTitle,sourcePublishedAt,verificationStatus,verifiedAt,notes
DCE,大连商品交易所,黄大豆1号,A,commodity,10 吨/手,元（人民币）/吨,10,吨,1,元/吨,10,https://www.dce.com.cn/dalianshangpin/sspz/ywpx/index.html,大连商品交易所产品目录（参数由用户确认附件提供）,,user-confirmed,2026-07-17,用户于 2026-07-17 明确确认附件 DCE-CZCE-selected-contracts.xlsx 中该品种基础参数正确；按 10 t/lot 与 CNY/t 换算，每跳价值=10×1=10 元/手。
DCE,大连商品交易所,黄大豆2号,B,commodity,10 吨/手,元（人民币）/吨,10,吨,1,元/吨,10,https://www.dce.com.cn/dalianshangpin/sspz/ywpx/index.html,大连商品交易所产品目录（参数由用户确认附件提供）,,user-confirmed,2026-07-17,用户于 2026-07-17 明确确认附件 DCE-CZCE-selected-contracts.xlsx 中该品种基础参数正确；按 10 t/lot 与 CNY/t 换算，每跳价值=10×1=10 元/手。
DCE,大连商品交易所,胶合板,BB,commodity,500 张/手,元（人民币）/张,500,张,0.05,元/张,25,https://www.dce.com.cn/dalianshangpin/sspz/ywpx/index.html,大连商品交易所产品目录（参数由用户确认附件提供）,,user-confirmed,2026-07-17,用户于 2026-07-17 明确确认附件 DCE-CZCE-selected-contracts.xlsx 中该品种基础参数正确；按 500 sheets/lot 与 CNY/sheet 换算，每跳价值=500×0.05=25 元/手。
DCE,大连商品交易所,玉米,C,commodity,10吨/手,元（人民币）/吨,10,吨,1,元/吨,10,https://www.dce.com.cn/dalianshangpin/resource/cms/article/8536039/489773/240219%E7%8E%89%E7%B1%B3%E6%9C%9F%E8%B4%A7%E5%92%8C%E6%9C%9F%E6%9D%83%E5%AE%A3%E4%BC%A0%E9%A1%B5.pdf,玉米期货和期权宣传页,2024-02-19,official-static,2026-07-16,按官方文件交易单位与报价单位换算；每跳价值=10×1=10元/手。
DCE,大连商品交易所,玉米淀粉,CS,commodity,10 吨/手,元（人民币）/吨,10,吨,1,元/吨,10,https://www.dce.com.cn/dalianshangpin/sspz/ywpx/index.html,大连商品交易所产品目录（参数由用户确认附件提供）,,user-confirmed,2026-07-17,用户于 2026-07-17 明确确认附件 DCE-CZCE-selected-contracts.xlsx 中该品种基础参数正确；按 10 t/lot 与 CNY/t 换算，每跳价值=10×1=10 元/手。
DCE,大连商品交易所,苯乙烯,EB,commodity,5 吨/手,元（人民币）/吨,5,吨,1,元/吨,5,https://www.dce.com.cn/dalianshangpin/sspz/ywpx/index.html,大连商品交易所产品目录（参数由用户确认附件提供）,,user-confirmed,2026-07-17,用户于 2026-07-17 明确确认附件 DCE-CZCE-selected-contracts.xlsx 中该品种基础参数正确；按 5 t/lot 与 CNY/t 换算，每跳价值=5×1=5 元/手。
DCE,大连商品交易所,乙二醇,EG,commodity,10 吨/手,元（人民币）/吨,10,吨,1,元/吨,10,https://www.dce.com.cn/dalianshangpin/sspz/ywpx/index.html,大连商品交易所产品目录（参数由用户确认附件提供）,,user-confirmed,2026-07-17,用户于 2026-07-17 明确确认附件 DCE-CZCE-selected-contracts.xlsx 中该品种基础参数正确；按 10 t/lot 与 CNY/t 换算，每跳价值=10×1=10 元/手。
DCE,大连商品交易所,纤维板,FB,commodity,10 立方米/手,元（人民币）/立方米,10,立方米,0.05,元/立方米,0.5,https://www.dce.com.cn/dalianshangpin/sspz/ywpx/index.html,大连商品交易所产品目录（参数由用户确认附件提供）,,user-confirmed,2026-07-17,用户于 2026-07-17 明确确认附件 DCE-CZCE-selected-contracts.xlsx 中该品种基础参数正确；按 10 m3/lot 与 CNY/m3 换算，每跳价值=10×0.05=0.5 元/手。
DCE,大连商品交易所,铁矿石,I,commodity,100 吨/手,元（人民币）/吨,100,吨,0.5,元/吨,50,https://www.dce.com.cn/dalianshangpin/sspz/ywpx/index.html,大连商品交易所产品目录（参数由用户确认附件提供）,,user-confirmed,2026-07-17,用户于 2026-07-17 明确确认附件 DCE-CZCE-selected-contracts.xlsx 中该品种基础参数正确；按 100 t/lot 与 CNY/t 换算，每跳价值=100×0.5=50 元/手。
DCE,大连商品交易所,焦炭,J,commodity,100吨/手,元（人民币）/吨,100,吨,0.5,元/吨,50.0,https://www.dce.com.cn/dalianshangpin/fgfz/6142914/6142926/6263837/%E5%A4%A7%E8%BF%9E%E5%95%86%E5%93%81%E4%BA%A4%E6%98%93%E6%89%80%E7%84%A6%E7%82%AD%E6%9C%9F%E8%B4%A7%E4%B8%9A%E5%8A%A1%E7%BB%86%E5%88%99%EF%BC%88%E6%A0%B9%E6%8D%AE2025%E5%B9%B41%E6%9C%8824%E6%97%A5%E3%80%942025%E3%80%9556%E5%8F%B7%E6%96%87%E4%BB%B6%E4%BF%AE%E6%94%B9%EF%BC%89.pdf,大连商品交易所焦炭期货业务细则（根据2025年1月24日〔2025〕56号文件修改）,2025-01-24,official-static,2026-07-16,按官方文件交易单位与报价单位换算；每跳价值=100×0.5=50.0元/手。
