exchange,exchangeName,name,symbol,productType,tradingUnit,quoteUnit,contractMultiplier,multiplierUnit,minTick,tickUnit,tickValue,sourceUrl,sourceTitle,sourcePublishedAt,verificationStatus,verifiedAt,notes
SHFE,上海期货交易所,铸造铝合金,AD,commodity,10吨/手,元（人民币）/吨,10.0,吨,5.0,元/吨,50.0,https://www.shfe.com.cn/products/futures/metal/nonferrousmetal/ad_f/standard_ad_f/202506/t20250605_827954.html,合约文本,,official-static,2026-07-16,按官网交易单位与报价单位换算；每跳价值=10×5。
SHFE,上海期货交易所,白银,AG,commodity,15千克/手,元（人民币）/千克,15.0,千克,1.0,元/千克,15.0,https://www.shfe.com.cn/products/futures/metal/ferrousandpreciousmetal/ag_f/standard_ag_f/202312/t20231205_327323.html,《上海期货交易所白银期货合约》（修订版）,,official-static,2026-07-16,按官网交易单位与报价单位换算；每跳价值=15×1。
SHFE,上海期货交易所,铝,AL,commodity,5吨/手,元（人民币）/吨,5.0,吨,5.0,元/吨,25.0,https://www.shfe.com.cn/products/futures/metal/nonferrousmetal/al_f/standard_al_f/202312/t20231205_330052.html,《上海期货交易所铝期货合约》（修订版）,,official-static,2026-07-16,按官网交易单位与报价单位换算；每跳价值=5×5。
SHFE,上海期货交易所,氧化铝,AO,commodity,20吨/手,元（人民币）/吨,20.0,吨,1.0,元/吨,20.0,https://www.shfe.com.cn/products/futures/metal/nonferrousmetal/ao_f/standard_ao_f/202312/t20231205_330053.html,上海期货交易所氧化铝期货合约,,official-static,2026-07-16,按官网交易单位与报价单位换算；每跳价值=20×1。
SHFE,上海期货交易所,黄金,AU,commodity,1000克/手,元（人民币）/克,1000.0,克,0.02,元/克,20.0,https://www.shfe.com.cn/products/futures/metal/ferrousandpreciousmetal/au_f/standard_au_f/202312/t20231205_316957.html,《上海期货交易所黄金期货合约》（修订版）,,official-static,2026-07-16,按官网交易单位与报价单位换算；每跳价值=1000×0.02。
SHFE,上海期货交易所,合成橡胶,BR,commodity,5吨/手,元（人民币）/吨,5.0,吨,5.0,元/吨,25.0,https://www.shfe.com.cn/products/futures/energyandchemical/br_f/standard_br_f/202312/t20231205_327333.html,上海期货交易所丁二烯橡胶期货合约,,official-static,2026-07-16,按官网交易单位与报价单位换算；每跳价值=5×5。
SHFE,上海期货交易所,石油沥青,BU,commodity,10吨/手,元（人民币）/吨,10.0,吨,1.0,元/吨,10.0,https://www.shfe.com.cn/products/futures/energyandchemical/bu_f/standard_bu_f/202312/t20231205_327332.html,上海期货交易所石油沥青期货合约（修订版）,,official-static,2026-07-16,按官网交易单位与报价单位换算；每跳价值=10×1。
SHFE,上海期货交易所,铜,CU,commodity,5吨/手,元（人民币）/吨,5.0,吨,10.0,元/吨,50.0,https://www.shfe.com.cn/products/futures/metal/nonferrousmetal/cu_f/standard_cu_f/202312/t20231205_331277.html,《上海期货交易所阴极铜期货合约》（修订版）,,official-static,2026-07-16,按官网交易单位与报价单位换算；每跳价值=5×10。
SHFE,上海期货交易所,燃料油,FU,commodity,10吨/手,元（人民币）/吨（交易报价为不含税价格）,10,吨,1.0,元/吨,10.0,https://www.shfe.com.cn/products/futures/energyandchemical/fu_f/standard_fu/202312/t20231205_327331.html,上海期货交易所燃料油期货合约(修订版),,official-static,2026-07-16,按官网交易单位与报价单位换算；每跳价值=10×1。
SHFE,上海期货交易所,热轧卷板,HC,commodity,10吨/手,元（人民币）/吨,10.0,吨,1.0,元/吨,10.0,https://www.shfe.com.cn/products/futures/metal/ferrousandpreciousmetal/hc_f/standard_hc_f/202312/t20231205_327326.html,《上海期货交易所热轧卷板期货合约》（修订版）,,official-static,2026-07-16,按官网交易单位与报价单位换算；每跳价值=10×1。
SHFE,上海期货交易所,镍,NI,commodity,1吨/手,元（人民币）/吨,1.0,吨,10.0,元/吨,10.0,https://www.shfe.com.cn/products/futures/metal/nonferrousmetal/ni_f/standard_ni_f/202312/t20231205_313864.html,上海期货交易所镍期货合约（修订版）,,official-static,2026-07-16,按官网交易单位与报价单位换算；每跳价值=1×10。
SHFE,上海期货交易所,胶版印刷纸,OP,commodity,40吨/手,元（人民币）/吨,40.0,吨,2.0,元/吨,80.0,https://www.shfe.com.cn/products/futures/energyandchemical/op_f/standard_op_f/202509/t20250908_828905.html,上海期货交易所胶版印刷纸期货合约,,official-static,2026-07-16,按官网交易单位与报价单位换算；每跳价值=40×2。
SHFE,上海期货交易所,铅,PB,commodity,5吨/手,元（人民币）/吨,5.0,吨,5.0,元/吨,25.0,https://www.shfe.com.cn/products/futures/metal/nonferrousmetal/pb_f/standard_pb_f/202312/t20231205_309039.html,上海期货交易所铅期货合约 （修订版）,,official-static,2026-07-16,按官网交易单位与报价单位换算；每跳价值=5×5。
SHFE,上海期货交易所,螺纹钢,RB,commodity,10吨/手,元（人民币）/吨,10.0,吨,1.0,元/吨,10.0,https://www.shfe.com.cn/products/futures/metal/ferrousandpreciousmetal/rb_f/standard_rb_f/202312/t20231205_327324.html,《上海期货交易所螺纹钢期货合约》（修订版）,,official-static,2026-07-16,按官网交易单位与报价单位换算；每跳价值=10×1。
SHFE,上海期货交易所,天然橡胶,RU,commodity,10吨/手,元（人民币）/吨,10.0,吨,5.0,元/吨,50.0,https://www.shfe.com.cn/products/futures/energyandchemical/ru_f/standard_ru_f/202312/t20231205_327334.html,上海期货交易所天然橡胶期货合约(修订版）,,official-static,2026-07-16,按官网交易单位与报价单位换算；每跳价值=10×5。
SHFE,上海期货交易所,锡,SN,commodity,1吨/手,元（人民币）/吨,1.0,吨,10.0,元/吨,10.0,https://www.shfe.com.cn/products/futures/metal/nonferrousmetal/sn_f/standard_sn_f/202312/t20231205_331278.html,上海期货交易所锡期货合约（修订版）,,official-static,2026-07-16,按官网交易单位与报价单位换算；每跳价值=1×10。
SHFE,上海期货交易所,纸浆,SP,commodity,10吨/手,元（人民币）/吨,10.0,吨,2.0,元/吨,20.0,https://www.shfe.com.cn/products/futures/energyandchemical/sp_f/standard_sp_f/202312/t20231205_327335.html,上海期货交易所漂白硫酸盐针叶木浆期货合约（修订版）,,official-static,2026-07-16,按官网交易单位与报价单位换算；每跳价值=10×2。
SHFE,上海期货交易所,不锈钢,SS,commodity,5吨/手,元（人民币）/吨,5.0,吨,5.0,元/吨,25.0,https://www.shfe.com.cn/products/futures/metal/ferrousandpreciousmetal/ss_f/standard_ss_f/202312/t20231205_327327.html,上海期货交易所不锈钢期货合约（修订版）,,official-static,2026-07-16,按官网交易单位与报价单位换算；每跳价值=5×5。
SHFE,上海期货交易所,线材,WR,commodity,10吨/手,元（人民币）/吨,10.0,吨,1.0,元/吨,10.0,https://www.shfe.com.cn/products/futures/metal/ferrousandpreciousmetal/wr_f/standard_wr_f/202312/t20231205_327325.html,《上海期货交易所线材期货合约》（修订版）,,official-static,2026-07-16,按官网交易单位与报价单位换算；每跳价值=10×1。
SHFE,上海期货交易所,锌,ZN,commodity,5吨/手,元（人民币）/吨,5.0,吨,5.0,元/吨,25.0,https://www.shfe.com.cn/products/futures/metal/nonferrousmetal/zn_f/standard_zn_f/202312/t20231205_309038.html,上海期货交易所锌期货合约（修订版）,,official-static,2026-07-16,按官网交易单位与报价单位换算；每跳价值=5×5。
